strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url
AF196835	wnv	AF196835	1999-XX-XX	North America	USA	NY	NY/Bronx			genome					
AF206518	wnv	AF206518	1999-XX-XX	North America	USA	CT	CT/Fairfield			genome					
DQ211652	wnv	DQ211652	1999-XX-XX	North America	USA					genome					
EF530047	wnv	EF530047	2000-XX-XX	North America	USA					genome					
EF571854	wnv	EF571854	1999-XX-XX	North America	USA					genome					
EF657887	wnv	EF657887	2000-XX-XX	North America	USA					genome					
FJ527738	wnv	FJ527738	2001-XX-XX	North America	USA	LA	LA			genome					
GQ379156	wnv	GQ379156	2001-07-XX	North America	USA					genome					
GQ379157	wnv	GQ379157	2008-08-XX	North America	USA	CA	CA			genome					
GQ379158	wnv	GQ379158	2007-08-XX	North America	USA	CA	CA			genome					
GQ379159	wnv	GQ379159	2008-08-XX	North America	USA	CA	CA			genome					
GQ379161	wnv	GQ379161	2006-02-XX	North America	USA					genome					
HM538578	wnv	HM538578	2001-XX-XX	North America	USA	CT	CT			genome					
HM538579	wnv	HM538579	2003-XX-XX	North America	USA	CT	CT			genome					
HM538580	wnv	HM538580	2005-XX-XX	North America	USA	CT	CT			genome					
HM538581	wnv	HM538581	2007-XX-XX	North America	USA	CT	CT			genome					
HM538582	wnv	HM538582	2004-XX-XX	North America	USA	IL	IL			genome					
HM538583	wnv	HM538583	2004-XX-XX	North America	USA	IL	IL			genome					
HM756655	wnv	HM756655	2003-XX-XX	North America	USA	CT	CT			genome					
HM756674	wnv	HM756674	2004-XX-XX	North America	USA	NY	NY			genome					
HQ596519	wnv	HQ596519	1999-XX-XX	North America	USA					genome					
HQ671736	wnv	HQ671736	2001-XX-XX	North America	USA	NY	NY			genome					
HQ671737	wnv	HQ671737	2002-XX-XX	North America	USA	NY	NY			genome					
HQ671738	wnv	HQ671738	2004-XX-XX	North America	USA	NY	NY			genome					
HQ671739	wnv	HQ671739	2004-XX-XX	North America	USA	NY	NY			genome					
HQ671740	wnv	HQ671740	2005-XX-XX	North America	USA	NY	NY			genome					
HQ671741	wnv	HQ671741	2006-XX-XX	North America	USA	NY	NY			genome					
HQ671743	wnv	HQ671743	2003-XX-XX	North America	USA	IL	IL			genome					
HQ671744	wnv	HQ671744	2005-XX-XX	North America	USA	IL	IL			genome					
HQ671745	wnv	HQ671745	2006-XX-XX	North America	USA	IL	IL			genome					
JN051152	wnv	JN051152	2003-05-XX	North America	USA					genome					
JN051153	wnv	JN051153	2003-05-XX	North America	USA					genome					
JN183889	wnv	JN183889	2003-XX-XX	North America	USA	CT	CT			genome					
KJ145800	wnv	KJ145800	1999-XX-XX	North America	USA					genome					
KJ145801	wnv	KJ145801	2004-XX-XX	North America	USA					genome					
KJ145802	wnv	KJ145802	2005-XX-XX	North America	USA					genome					
KJ145803	wnv	KJ145803	2003-XX-XX	North America	USA					genome					
