strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url	latitude	longitude	county
AF196835	wnv	AF196835	1999-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
AF206518	wnv	AF206518	1999-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
FJ527738	wnv	FJ527738	2001-XX-XX	North America	USA	NA	LA			genome						31.1695	-91.8678	
GQ379157	wnv	GQ379157	2008-08-XX	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ379158	wnv	GQ379158	2007-08-XX	North America	USA	NA	CA			genome						36.1162	-119.6816	
GQ379159	wnv	GQ379159	2008-08-XX	North America	USA	NA	CA			genome						36.1162	-119.6816	
HM538578	wnv	HM538578	2001-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM538579	wnv	HM538579	2003-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM538580	wnv	HM538580	2005-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM538581	wnv	HM538581	2007-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM538582	wnv	HM538582	2004-XX-XX	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM538583	wnv	HM538583	2004-XX-XX	North America	USA	NA	IL			genome						40.3495	-88.9861	
HM756655	wnv	HM756655	2003-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
HM756674	wnv	HM756674	2004-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671736	wnv	HQ671736	2001-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671737	wnv	HQ671737	2002-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671738	wnv	HQ671738	2004-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671739	wnv	HQ671739	2004-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671740	wnv	HQ671740	2005-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671741	wnv	HQ671741	2006-XX-XX	North America	USA	NA	NY			genome						42.1657	-74.9481	
HQ671743	wnv	HQ671743	2003-XX-XX	North America	USA	NA	IL			genome						40.3495	-88.9861	
HQ671744	wnv	HQ671744	2005-XX-XX	North America	USA	NA	IL			genome						40.3495	-88.9861	
HQ671745	wnv	HQ671745	2006-XX-XX	North America	USA	NA	IL			genome						40.3495	-88.9861	
JN183889	wnv	JN183889	2003-XX-XX	North America	USA	NA	CT			genome						41.5978	-72.7554	
MN849176	wnv	MN849176	2019-09-XX	North America	USA	NA	DC			genome						38.9072	-77.0369	
OQ721124	wnv	OQ721124	2016-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721125	wnv	OQ721125	2015-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721141	wnv	OQ721141	2017-XX-XX	North America	USA	NA	ID			genome						44.2405	-114.4788	
OQ721199	wnv	OQ721199	2017-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721245	wnv	OQ721245	2017-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721286	wnv	OQ721286	2013-XX-XX	North America	USA	NA	US/VI			genome								
OQ721297	wnv	OQ721297	2016-XX-XX	North America	USA	NA	WA			genome						47.4009	-121.4905	
OQ721321	wnv	OQ721321	2017-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
OQ721333	wnv	OQ721333	2018-XX-XX	North America	USA	NA	OR			genome						44.572	-122.0709	
