trait	value	color
state	WA	#43529b
state	ID	#4b5ca5
state	MT	#5366ae
state	OR	#5b6fb8
state	NV	#6378c2
state	WY	#6b82cb
state	CA	#738cd4
state	UT	#7b95de
state	CO	#839ee8
state	AZ	#EE0000
state	NM	#FF2222
state	OK	#FF4444
state	TX	#FF6666
state	ND	#008b45
state	MN	#00964b
state	IL	#00a051
state	WI	#00ab57
state	MI	#00b55d
state	SD	#00c063
state	IA	#00ca68
state	IN	#00d56e
state	OH	#00df74
state	NE	#00ea7a
state	MO	#00f480
state	KS	#00ff86
state	KY	#631879
state	VA	#7d1f8e
state	AR	#8b2398
state	TN	#9827a3
state	NC	#a52aad
state	LA	#bf31c2
state	MS	#cc35cd
state	AL	#da39d7
state	GA	#e73ce2
state	FL	#f440ec
state	NH	#ebb017
state	NY	#edb923
state	MA	#efc22f
state	PA	#f4d346
state	NJ	#f6dc51
state	CT	#f8e55d
state	MD	#faee69
state	DC	#fdf674
county	Adams	#440154
county	Box Butte	#48186a
county	Chase	#463480
county	Cherry	#453882
county	Dakota	#3e4c8a
county	Dawes	#3c4f8a
county	Dawson	#3b528b
county	Dodge	#375b8d
county	Douglas	#355e8d
county	Dundy	#34608d
county	Garden	#2d718e
county	Garfield	#2c738e
county	Hall	#277e8e
county	Holt	#228b8d
county	Knox	#1fa287
county	Lancaster	#21a585
county	Madison	#29af7f
county	Phelps	#58c765
county	Red Willow	#70cf57
county	Scotts Bluff	#9bd93c
county	Seward	#a0da39
county	Wayne	#eae51a
